Fire,Plot,ALLOCO,AMPHMA,ANTIGH,ASPAGA2,BAUHSP1,CISSPA,CLAUEX,CROTHU,CURCSP1,DESMSP4,DIOSVE,LEEAIN,OTTONO,STERPE,STREJU,STYRBE,THUNSP1,VATISP1,ZINGZE,ACACCO,DIOSCO,FABACE6,PSEULA,TERMNI,TILITR,ACACSP1,AGANPO,ALANIN,CAPPMI,CAYRTR,DESMSP5,DIOSDE,DIOSFI,HYMEBR,ICHNFR,MARSSP1,NERVSP1,PIPESA,PTERMA,RUELPR,WRIGAR,AGLAOD,AMORSP2,CAESHY,CRATPR,DIOSAL,GMELSP1,GREWER,HELIEL,HELIIS,LAGEDU,PAEDPI,POLYDE,STERGU,STERSP1,ZYGOBE,DENDUM,HOLAPU,OPLICO,UVARDU,ZOLLDO,AMORSP1,BUCHCO,CRATCO,CYCASI,CYPECY,DALBOV,HELIAN,HETETR,MICRTO,MNESLA,SETAPA,SINDSI,TERMMU,THESLA,URARRO,UVARCH,BALISO,CLERIN,CONGTO,CYANBU,GLOBSP1,GMELEL,HYDNIL,KAEMSP1,MALLPE,MURRPA,OXYCSP1,PERISP1,POLYSU,BLINLY,DIPTOB,ENKLMA,MURDLO,RUBIAC3,SCLELE,TEPHVE,APORSP1,ARUNSE,BARLCR,CHROOD,GLUTUS,LAMIAC,LINOPE,OCHNIN,SCLEPI,THUNFR,CYPETR,SHORRO,SMILLU,CYANCI,DALBOL,DILLOB,LANNCO,PHYLIN,SHORSI,SOLEHE,ACRARA,ALBIOD,ASPAGA1,CAESSP1,CAJASC,COMBPU,CORCAE,CYANCR,DIOSSP1,MARANT,MYRIEX,PHYLUR,SENNTO,TRIUBA,VENTSP1,CUCURB2,DIOSCA,FERNAD,MEMESC,SCHLOL,ATALMO,CHUKTA,CLEMSP1,COMMPA,UNKNOW2,TYPHTR,XYLIXY,ANTIMO,MARKST,WALSTR,BOMBIN,BREYAS,BRIDST,ARISSP1,CUCURB1,GMELSP2,MILLBR,ACANTH1,ACHYAS,ARISCA,BROUKU,CLAUSP1,JASMSP1,MUNRHU,RUELRE,UNKNOW6,ZINGIB,ACANTH5,BAUHSC,CELAPA,CNESLA,DIMOLO,LITSGL,PAVESP1,POUZZE,ZIZIOE,CROTMA,BAMBBA,CALAAC,CLEIPA,SIDAMY,GOMPST,HYMEOR,MILLXY,PHYLPU,SIDARH,DIOSHI,BULBBA,CAREAR,MORITO,TRIGRE,VITELI,ERYTCA,FABACE5,HYPOAU,KAEMMA,PHYLEM,SPONPI,URARCR,CANASU,HARRPE,CISSRE,HUBECE,LEPIRU,MONOOB,ORCHID1,FABACE1,LAGETO,UNKNOW3,ALBILU,SENNSP,SENNTI,AMPEMA,ARNISP1,DENDTR,MITRRO,TELOSP1,GARUPI,HEDYOV,HOMADI,LEPITE,COMMSP1,SHOROB,STERVI,LEUCDE,VITECA,INVOCO,PHYSAN,STERTE,FLACIN,MITRTO,MURDME,WALSPI,ELLITO,CYPENI,DALBCU,GREWAB,PYCNLU,ADENVI,BREYSP1,DIOSEH,ORTHRU,VITEPE,DENDSP,ERYTSU,FLEMST,GREWHI,GYNUPS,THYRSI,BRACRA,MURDVA,SIDACO,AGERCO,ALLOSE,CATUSP,CRINAM,HETESU,OLDECO,CHRYOR,CROTMO,CYPELE,CYPETE,FABACE2,HELILA,BARRSP1,FABACE3,UVARRU,SCINSP1,BIOPUM,DENDME,DIGISP1,GALASP1,TERMBE,BRUCJA,CYMBSP1,URENLO,CURCAN,CYPEDU,GARDOB,MURDSP,SCHIBR,LAGEVE,CATUTO,TRIDPR,COMMBE,URTICA,CURCPA,VITEPI,PREMSP1,DIGILO,CONVOL3,CYRTAC,DALBRI,CRATSU,DALBLA,DIOSGL,SENNGA,BLUMSP2,CENTLA,CLEOVI,ERAGMO,EUPHHI,IMPECY,LINDCI,TERMAL,BOMBAN,CHEISP,CONVOL1,DICTOV,DIOSVA,ORYZME,SMILSP1,SPATPA,DIGIAB,SAURHI,GYMNGR,MAMMSI,TERMGL,COLOAU,PEROIN,VITEGL,ARTOSP1,DIOSMO,MALLPH,PTERSE,CONVOL2,LEUCLE,PASSFO,STREAS,ERANSP1,HOLOIN,ROURST,VALLSO,DIPTTU,PARVTO,CRATFO,FIMBFU,GYNUSP1,MURDNU,CARDQU,BRACSU,CASSFI,DIGICI,ELEUIN,ERAGJA,EUPHHE,INDIHI,IPOMPE,PHYLAM,RICHBR,TRIAPO,BROUPA,COCCGR,ARISKE,COLOES,OROXIN,SORGHA,THUNLA,MERRQU,INDISQ,CHRYAC,DESMTR,FIMBCI,HOLACU,MERRHI,SEMECO,VETIZI,ABRUPU,BERRMO,DALBCA,SPERPU,ACILSQ,ALTESE,CYNODA,DACTAE,MELOCO,MIMODI,MIMOPI,PASPNO,SCOPDU,TEPHPU,SENNOC,SIDAAC,GARDSO,CYPESP2,EUPHTH,GOMPCE,HELIST,LINDAN,LIPOHE,GLINOP,ANTISP2,GEOPRE,LITHPO,MEMESP1,TAREVA,UNKNOW4,CHAMMI,CYPECU,HEDYSP1,LINDCR,ANDRPA,APHAPO,MELISU,METATR,DECAPA,AERVSA,PTERSP1,DESMSP2,PRISTE,ANTISP1,COLOFL,MILIHO,ORCHID2,PROTSE,VITACE,SUREMU,CASEGR,DESMSP1,PREMRA,CARESP,ALBILE,CORDGL,XANTCA,CARABR,BEILRO,MYXOSP1,RUBIAC2,POACEA1,ROTTCA,DALBNI,CYPERA1,ELEPSC,FIMBER,DIPTAL,PTERTI,BLUMSP1,DESMOB,RUELSI,COMMEL1,DUNBBE,ERIOSP1,ACANTH3,PEPEPE,TERMCH,IRVIMA,RUBIAC1,ZIZIRU,EHRELA,DRYPSP1,KYLLBR,SACCIN,TOREFO,UNKNOW5,ACANTH2,STERCY,DIGISPA,CLITMA,CYPERA3,CLEORU,CYPERA2,CYPERO,ECHICO,GYMNSC,LUDWHY,MERRVI,SYNENO,AESCAM,CENTPU,HALDCO,MILLSP2,TECTGR,ADENIN,SPORDI,CYPECA,EVOLNU,FIMBDI,FIMBQU,LUDWAD,MIMOPU,CYANAX,PHYLDE,AMARSP
after,1,1,29.66666667,2.666666667,3.843333333,1.333333333,1,2,0.99,0.17,0.073333333,40,66.66666667,61.66666667,1.333333333,1.333333333,54,12,2238.520333,1.666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
after,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3.333333333,8,0.333333333,8.333333333,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
after,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0.176666667,0.666666667,0.306666667,5.333333333,0.666666667,2.333333333,0.43,2.666666667,77.66666667,1.666666667,1.333333333,2,4.383333333,0.323333333,0.183333333,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
after,4,4.666666667,0,0,0,0,0,0,9,0,0,0,0,0,4.333333333,0,0,0,0,0,39.33333333,0,0,0,14.33333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.223333333,0.033333333,0.076666667,6.333333333,0.103333333,0.526666667,0.126666667,4,19.33333333,0.666666667,7,0.17,91.66666667,0.406666667,0.153333333,2.406666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
after,5,0,0,0.083333333,0,0.493333333,0,0,189.7346667,0,0,0,0,23,0,0,0,0,0,0,0.083333333,0,0,0,0,0,0,0,0.076666667,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.33333333,0,0,0.283333333,2.333333333,16.66666667,0.786666667,3.333333333,0.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
after,6,0,0,0,0,0,0,0,103.3333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.026666667,0.666666667,14.66666667,633.8743333,6.333333333,5.666666667,7.666666667,24.33333333,8,3.333333333,3.666666667,1.666666667,0.143333333,3,0.16,0.203333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
after,7,0,0,0,0,0,0,0,0,0,0,0,0,40.33333333,0,0,0,0,0,0,3.03,0,0,6.316666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.106666667,0,0,0,0,0.17,0,0,0,0,0,0,0,0,0,0,0,0,5.666666667,0,2.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,19.33333333,0.19,0.05,8.683333333,0.26,0.826666667,5.943333333,0.816666667,250,2,59.46666667,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
after,8,0,0,0,0,0,0,0,0,0,0,4.333333333,0,0,0.39,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2.73,29.66666667,0.066666667,2.333333333,7,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
after,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.16333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,311.155,0.436666667,0,0,30.7,0,182.8333333,95.63,16.54666667,7.93,19.39666667,9.21,44.95666667,0.77,1.683333333,0.473333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
after,10,0,0,0,0,69,0,0,685.6666667,0,0,0,0,73.66666667,0,1.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,573.3333333,0,0,0,3.333333333,0,0,0,0,35.66666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183.669,0,0,0,0,0,0,10.33333333,67.33333333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
